operation,admin0Name,admin0Pcode,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,displacementReason,numberMales,numberFemales,idpOriginAdmin1Name,idpOriginAdmin1Pcode,assessmentType
Armed Clashes in Sudan (Overview),Sudan,SDN,1374,2026-03-31T00:00:00,2026,3,34,Conflict,,,Gedaref,SD12,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,5051,2026-03-31T00:00:00,2026,3,34,Conflict,,,Northern,SD17,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,202845,2026-03-31T00:00:00,2026,3,34,Conflict,,,East Darfur,SD05,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,258123,2026-03-31T00:00:00,2026,3,34,Conflict,,,Blue Nile,SD08,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,21951,2026-03-31T00:00:00,2026,3,34,Conflict,,,White Nile,SD09,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,1979089,2026-03-31T00:00:00,2026,3,34,Conflict,,,South Darfur,SD03,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,362158,2026-03-31T00:00:00,2026,3,34,Conflict,,,West Kordofan,SD18,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,56126,2026-03-31T00:00:00,2026,3,34,Conflict,,,Sennar,SD14,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,23265,2026-03-31T00:00:00,2026,3,34,Conflict,,,Red Sea,SD10,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,239095,2026-03-31T00:00:00,2026,3,34,Conflict,,,North Kordofan,SD13,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,1970901,2026-04-30T00:00:00,2026,4,35,Conflict,,,Khartoum,SD01,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,5051,2026-04-30T00:00:00,2026,4,35,Conflict,,,Northern,SD17,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,1980120,2026-04-30T00:00:00,2026,4,35,Conflict,,,South Darfur,SD03,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,1333,2026-04-30T00:00:00,2026,4,35,Conflict,,,Gedaref,SD12,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,359963,2026-04-30T00:00:00,2026,4,35,Conflict,,,West Darfur,SD04,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,22910,2026-04-30T00:00:00,2026,4,35,Conflict,,,Red Sea,SD10,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,398239,2026-04-30T00:00:00,2026,4,35,Conflict,,,South Kordofan,SD07,BA
Armed Clashes in Sudan (Overview),Sudan,SDN,6811,2026-04-30T00:00:00,2026,4,35,Conflict,,,Kassala,SD11,BA
