,,,, Sectoral Severity ,,,,,,,,,,,,, Humanitarian Condistions/Outcomes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,,,,,,,,,,,,,,,, Life Threatening ,,, Irreversible Harm ,,"Final Results
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Site Management  , Education , Food Security and Livlihoods , Health  , Nutrition , Protection , Shelter NFI  , WASH , RCF , GBV , Mine Action , General Protection , Preliminary Severity based on overlap of sectoral deprivations , Mortality , Malnutrition , Epidemics , FSLA , HR/IHL Violation , Final Severity , Evidence & Comments , Changes severity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Darfur,SD02,Saraf Omra,SD02133, 4 , 4 , 4 , 3 , 4 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 , 3 , 4 ,, 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Darfur,SD02,Um Kadadah,SD02136, 4 , 5 , 4 , 4 , 5 , 5 , 3 , 5 , 0 , -   , -   , -   , 5 , 3 , 5 , 1 , 4 , 4 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Darfur,SD02,Kernoi,SD02168, 1 , 4 , 4 , 3 , 4 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 ,, 4 ,, 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Darfur,SD02,Al Lait,SD02169, 1 , 4 , 5 , 4 , 5 , 4 , 5 , 4 , 3 , -   , -   , -   , 5 , 3 , 4 , 2 , 4 , 3 , 4 , Agreement at the JIAF workshop - All conditions for severity 5 definition not met.  , D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Darfur,SD02,Tawila,SD02170, 5 , 4 , 4 , 4 , 4 , 5 , 5 , 5 , 0 , -   , -   , -   , 5 , 4 , 4 , 5 , 4 , 4 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Darfur,SD02,At Tina,SD02171, 2 , 3 , 3 , 4 , 4 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 ,, 4 ,, 4 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Al Radoum,SD03141, 1 , 4 , 3 , 3 , 4 , 3 , 2 , 3 , 5 , -   , -   , -   , 3 ,, 4 ,, 4 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Ed Al Fursan,SD03143, 1 , 4 , 3 , 3 , 4 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 ,, 4 , 1 , 4 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Kas,SD03144, 4 , 4 , 3 , 4 , 4 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 ,, 3 , 1 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Mershing,SD03145, 4 , 4 , 3 , 4 , 4 , 3 , 4 , 3 , 0 , -   , -   , -   , 4 ,, 3 , 2 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Um Dafoug,SD03146, 1 , 4 , 3 , 4 , 4 , 3 , 3 , 3 , 4 , -   , -   , -   , 3 ,, 4 ,, 3 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Sharg Aj Jabal,SD03147, 1 , 3 , 3 , 4 , 4 , 4 , 3 , 5 , 0 , -   , -   , -   , 4 , 3 , 3 , 2 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Tulus,SD03149, 2 , 3 , 3 , 2 , 4 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 , 2 , 4 ,, 4 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Al Wihda,SD03150, 4 , 4 , 3 , 3 , 4 , 4 , 5 , 3 , 0 , -   , -   , -   , 4 ,, 3 ,, 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Nitega,SD03151, 4 , 4 , 3 , 4 , 4 , 3 , 3 , 4 , 0 , -   , -   , -   , 4 , 2 , 4 , 2 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Gereida,SD03153, 3 , 4 , 3 , 4 , 4 , 4 , 3 , 5 , 0 , -   , -   , -   , 4 ,, 4 ,, 4 , 5 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Shattaya,SD03154, 4 , 4 , 4 , 4 , 4 , 3 , 3 , 5 , 0 , -   , -   , -   , 4 ,, 3 ,, 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,As Sunta,SD03156, 4 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 0 , -   , -   , -   , 4 ,, 4 ,, 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Kubum,SD03157, 4 , 4 , 3 , 4 , 4 , 3 , 3 , 4 , 0 , -   , -   , -   , 4 , 2 , 4 ,, 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Rehaid Albirdi,SD03158, 4 , 4 , 3 , 3 , 4 , 4 , 4 , 4 , 0 , -   , -   , -   , 4 ,, 4 ,, 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Kateila,SD03159, 1 , 4 , 3 , 3 , 4 , 3 , 3 , 5 , 0 , -   , -   , -   , 3 , 3 , 4 ,, 4 , 3 , 4 ,, I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Buram,SD03161, 1 , 3 , 3 , 4 , 4 , 4 , 4 , 4 , 3 , -   , -   , -   , 4 , 3 , 2 ,, 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Beliel,SD03162, 4 , 4 , 3 , 3 , 4 , 4 , 4 , 4 , 3 , -   , -   , -   , 4 ,, 4 , 2 , 4 , 5 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Nyala Shimal,SD03164, 3 , 4 , 3 , 4 , 4 , 4 , 3 , 4 , 3 , -   , -   , -   , 4 , 2 , 3 , 3 , 4 , 5 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,As Salam - SD,SD03166, 3 , 4 , 3 , 5 , 4 , 4 , 3 , 3 , 0 , -   , -   , -   , 4 , 2 , 4 , 3 , 3 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Nyala Janoub,SD03167, 1 , 4 , 3 , 5 , 4 , 4 , 3 , 4 , 3 , -   , -   , -   , 4 ,, 4 , 3 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Darfur,SD03,Damso,SD03172, 2 , 3 , 3 , 3 , 4 , 3 , 3 , 3 , 4 , -   , -   , -   , 3 , 3 , 4 ,, 4 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Darfur,SD04,Beida,SD04111, 1 , 4 , 3 , 4 , 4 , 3 , 3 , 4 , 0 , -   , -   , -   , 4 , 3 , 4 ,, 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Darfur,SD04,Ag Geneina,SD04115, 4 , 3 , 3 , 3 , 4 , 4 , 3 , 3 , 0 , -   , -   , -   , 3 , 3 , 4 , 2 , 3 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Darfur,SD04,Foro Baranga,SD04121, 1 , 4 , 3 , 4 , 4 , 3 , 4 , 4 , 0 , -   , -   , -   , 4 , 2 , 4 , 1 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Darfur,SD04,Habila - WD,SD04122, 2 , 4 , 3 , 4 , 4 , 4 , 5 , 5 , 0 , -   , -   , -   , 5 , 2 , 4 , 2 , 3 , 3 , 4 , Agreement at the JIAF workshop - All conditions for severity 5 definition not met.  , D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Darfur,SD04,Jebel Moon,SD04123, 4 , 4 , 3 , 5 , 4 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 , 3 , 4 ,, 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Darfur,SD04,Kereneik,SD04125, 4 , 4 , 3 , 4 , 4 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 , 3 , 4 , 2 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Darfur,SD04,Kulbus,SD04127, 1 , 4 , 3 , 3 , 4 , 4 , 3 , 5 , 0 , -   , -   , -   , 4 , 2 , 4 ,, 3 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Darfur,SD04,Sirba,SD04134, 1 , 3 , 3 , 4 , 4 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 , 3 , 3 ,, 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Darfur,SD05,Adila,SD05139, 3 , 4 , 3 , 2 , 4 , 3 , 3 , 4 , 3 , -   , -   , -   , 3 ,, 4 , 2 , 4 , 3 , 4 ,, I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
