,,,, Sectoral Severity ,,,,,,,,,,,,, Humanitarian Condistions/Outcomes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,,,,,,,,,,,,,,,, Life Threatening ,,, Irreversible Harm ,,"Final Results
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Site Management  , Education , Food Security and Livlihoods , Health  , Nutrition , Protection , Shelter NFI  , WASH , RCF , GBV , Mine Action , General Protection , Preliminary Severity based on overlap of sectoral deprivations , Mortality , Malnutrition , Epidemics , FSLA , HR/IHL Violation , Final Severity , Evidence & Comments , Changes severity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Ghadeer,SD07108, 1 , 4 , 3 , 3 , 4 , 4 , 3 , 3 , 0 , -   , -   , -   , 3 , 3 , 4 , 2 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Nile,SD08,Baw,SD08104, 2 , 3 , 3 , 4 , 3 , 4 , 4 , 4 , 0 , -   , -   , -   , 4 , 3 , 2 , 4 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Nile,SD08,Ed Damazine,SD08105, 4 , 3 , 3 , 4 , 4 , 4 , 3 , 3 , 0 , -   , -   , -   , 4 , 3 , 3 , 3 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Nile,SD08,Al Kurmuk,SD08106, 4 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 0 , -   , -   , -   , 4 , 2 , 3 , 3 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Nile,SD08,Ar Rusayris,SD08107, 1 , 3 , 3 , 3 , 3 , 2 , 3 , 3 , 0 , -   , -   , -   , 3 , 2 , 3 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Nile,SD08,At Tadamon - BN,SD08108, 4 , 3 , 3 , 3 , 3 , 4 , 4 , 5 , 0 , -   , -   , -   , 4 , 2 , 2 , 3 , 3 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Nile,SD08,Geisan,SD08109, 1 , 3 , 3 , 4 , 3 , 3 , 4 , 4 , 0 , -   , -   , -   , 3 , 3 , 3 , 5 , 4 , 4 , 3 , Decision at JIAF workshop  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Nile,SD08,Wad Al Mahi,SD08110, 4 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 2 , -   , -   , -   , 4 , 4 , 4 ,, 4 , 2 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Nile,SD09,Ad Diwaim,SD09044, 1 , 3 , 3 , 4 , 3 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 , 2 , 3 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Nile,SD09,Um Rimta,SD09045, 1 , 4 , 3 , 4 , 3 , 4 , 2 , 3 , 0 , -   , -   , -   , 3 ,, 2 , 3 , 4 , 4 , 4 ,, I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Nile,SD09,Rabak,SD09046, 3 , 3 , 3 , 4 , 4 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 ,, 4 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Nile,SD09,Kosti,SD09047, 4 , 3 , 3 , 4 , 4 , 3 , 3 , 3 , 3 , -   , -   , -   , 3 ,, 4 , 5 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Nile,SD09,Tendalti,SD09048, 2 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 , 2 , 3 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Nile,SD09,As Salam / Ar Rawat,SD09049, 5 , 3 , 3 , 4 , 4 , 4 , 5 , 4 , 2 , -   , -   , -   , 5 ,, 4 , 3 , 3 , 2 , 4 , Agreement at the JIAF workshop - All conditions for severity 5 definition not met.  , D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Nile,SD09,Al Gitaina,SD09050, 1 , 3 , 3 , 4 , 3 , 3 , 2 , 3 , 0 , -   , -   , -   , 3 ,, 2 , 3 , 3 , 5 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Nile,SD09,Aj Jabalain,SD09051, 3 , 3 , 3 , 4 , 4 , 3 , 3 , 4 , 2 , -   , -   , -   , 3 , 3 , 4 , 3 , 4 , 3 , 4 ,, I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Nile,SD09,Guli,SD09052, 1 , 3 , 3 , 3 , 3 , 3 , 3 , 2 , 0 , -   , -   , -   , 3 ,, 3 , 3 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sea,SD10,Dordieb,SD10063, 1 , 3 , 3 , 2 , 4 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 , 4 , 4 , 2 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sea,SD10,Port Sudan,SD10064, 3 , 3 , 3 , 2 , 3 , 3 , 3 , 3 , 3 , -   , -   , -   , 3 , 2 , 3 , 3 , 4 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sea,SD10,Tawkar,SD10065, 4 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 , 2 , 2 ,, 4 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sea,SD10,Hala'ib,SD10066, 1 , 2 , 3 , 3 , 4 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 , 2 , 4 , 2 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sea,SD10,Jubayt Elma'aadin,SD10067, 1 , 2 , 3 , 2 , 3 , 3 , 4 , 3 , 0 , -   , -   , -   , 3 ,, 3 , 1 , 4 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sea,SD10,Sawakin,SD10068, 1 , 2 , 3 , 3 , 3 , 3 , 2 , 1 , 3 , -   , -   , -   , 3 , 2 , 3 , 2 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sea,SD10,Al Ganab,SD10069, 1 , 2 , 3 , 2 , 3 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 ,, 3 , 2 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sea,SD10,Haya,SD10070, 1 , 3 , 3 , 2 , 4 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 ,, 4 , 2 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sea,SD10,Sinkat,SD10071, 1 , 3 , 3 , 2 , 4 , 3 , 2 , 3 , 0 , -   , -   , -   , 3 , 3 , 4 , 1 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sea,SD10,Agig,SD10072, 2 , 2 , 3 , 2 , 4 , 3 , 2 , 4 , 0 , -   , -   , -   , 3 ,, 4 , 1 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassala,SD11,Halfa Aj Jadeedah,SD11052, 1 , 3 , 3 , 4 , 3 , 3 , 1 , 3 , 0 , -   , -   , -   , 3 ,, 2 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassala,SD11,Madeinat Kassala,SD11053, 2 , 3 , 3 , 3 , 3 , 3 , 2 , 3 , 3 , -   , -   , -   , 3 , 2 , 2 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassala,SD11,Reifi Gharb Kassala,SD11054, 3 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 ,, 2 , 4 , 4 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassala,SD11,Reifi Aroma,SD11055, 1 , 2 , 3 , 4 , 4 , 3 , 4 , 3 , 0 , -   , -   , -   , 3 , 2 , 4 , 3 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassala,SD11,Reifi Kassla,SD11056, 2 , 3 , 3 , 3 , 4 , 3 , 3 , 3 , 3 , -   , -   , -   , 3 ,, 4 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassala,SD11,Reifi Shamal Ad Delta,SD11057, 1 , 3 , 3 , 4 , 4 , 3 , 2 , 3 , 0 , -   , -   , -   , 3 , 2 , 4 , 3 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassala,SD11,Reifi Hamashkureib,SD11058, 1 , 2 , 3 , 4 , 4 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 , 2 , 4 , 3 , 4 , 3 , 4 ,, I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassala,SD11,Reifi Telkok,SD11059, 4 , 3 , 3 , 3 , 4 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 , 2 , 4 , 2 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassala,SD11,Reifi Khashm Elgirba,SD11060, 2 , 2 , 3 , 3 , 4 , 3 , 3 , 1 , 3 , -   , -   , -   , 3 ,, 4 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassala,SD11,Reifi Wad Elhilaiw,SD11061, 2 , 4 , 3 , 4 , 3 , 3 , 3 , 4 , 3 , -   , -   , -   , 3 , 2 , 2 , 3 , 4 , 3 , 4 ,, I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassala,SD11,Reifi Nahr Atbara,SD11062, 1 , 4 , 3 , 3 , 3 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 ,, 1 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gedaref,SD12,Al Butanah,SD12073, 1 , 2 , 3 , 4 , 3 , 3 , 3 , 5 , 0 , -   , -   , -   , 3 ,, 3 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gedaref,SD12,Al Fao,SD12074, 3 , 4 , 3 , 3 , 3 , 4 , 3 , 4 , 0 , -   , -   , -   , 3 , 2 , 3 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gedaref,SD12,Al Fashaga,SD12075, 3 , 4 , 3 , 4 , 3 , 3 , 3 , 1 , 3 , -   , -   , -   , 3 ,, 3 , 4 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gedaref,SD12,Al Qureisha,SD12076, 1 , 3 , 3 , 2 , 3 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 , 3 , 3 , 2 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gedaref,SD12,Basundah,SD12077, 3 , 4 , 3 , 2 , 3 , 4 , 3 , 4 , 3 , -   , -   , -   , 3 ,, 3 , 2 , 4 , 2 , 4 ,, I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gedaref,SD12,Al Galabat Al Gharbyah - Kassab,SD12078, 3 , 4 , 3 , 3 , 3 , 3 , 3 , 4 , 2 , -   , -   , -   , 3 , 3 , 2 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gedaref,SD12,Gala'a Al Nahal,SD12079, 1 , 4 , 3 , 2 , 3 , 4 , 3 , 4 , 0 , -   , -   , -   , 3 ,, 2 , 3 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gedaref,SD12,Madeinat Al Gedaref,SD12080, 3 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 , 4 , 2 , 4 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gedaref,SD12,Wasat Al Gedaref,SD12081, 3 , 4 , 3 , 3 , 3 , 3 , 4 , 4 , 3 , -   , -   , -   , 3 ,, 2 , 4 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gedaref,SD12,Al Mafaza,SD12082, 1 , 4 , 3 , 3 , 3 , 3 , 3 , 4 , 3 , -   , -   , -   , 3 ,, 3 , 2 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gedaref,SD12,Galabat Ash-Shargiah,SD12083, 1 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 2 , -   , -   , -   , 3 , 3 , 2 , 2 , 4 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gedaref,SD12,Ar Rahad,SD12084, 1 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 ,, 3 , 3 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Kordofan,SD13,Um Rawaba,SD13023, 1 , 4 , 3 , 4 , 3 , 3 , 3 , 3 , 3 , -   , -   , -   , 3 , 2 , 3 , 3 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Kordofan,SD13,Sheikan,SD13024, 4 , 4 , 3 , 5 , 4 , 5 , 3 , 4 , 3 , -   , -   , -   , 5 , 2 , 4 , 4 , 3 , 3 , 4 , Agreement at the JIAF workshop - All conditions for severity 5 definition not met.  , D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Kordofan,SD13,Soudari,SD13025, 1 , 5 , 3 , 3 , 3 , 3 , 2 , 3 , 0 , -   , -   , -   , 3 ,, 3 , 2 , 4 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Kordofan,SD13,Bara,SD13026, 1 , 4 , 3 , 4 , 4 , 5 , 4 , 3 , 0 , -   , -   , -   , 4 ,, 4 , 2 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Kordofan,SD13,Gebrat Al Sheikh,SD13027, 1 , 4 , 3 , 4 , 3 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 ,, 3 , 2 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Kordofan,SD13,Um Dam Haj Ahmed,SD13028, 1 , 4 , 3 , 4 , 4 , 3 , 2 , 3 , 0 , -   , -   , -   , 3 ,, 3 , 3 , 4 , 3 , 4 ,, I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Kordofan,SD13,Gharb Bara,SD13029, 1 , 4 , 3 , 3 , 4 , 4 , 4 , 4 , 0 , -   , -   , -   , 4 ,, 4 , 3 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Kordofan,SD13,Ar Rahad,SD13030, 1 , 4 , 3 , 3 , 3 , 4 , 3 , 4 , 3 , -   , -   , -   , 3 ,, 3 , 3 , 3 , 4 , 4 ,, I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennar,SD14,Abu Hujar,SD14037, 1 , 5 , 3 , 3 , 4 , 4 , 3 , 3 , 0 , -   , -   , -   , 3 ,, 4 , 2 , 4 , 4 , 4 , Decision at JIAF workshop  , I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennar,SD14,Sennar,SD14038, 1 , 3 , 3 , 3 , 3 , 3 , 2 , 1 , 0 , -   , -   , -   , 3 ,, 2 , 3 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennar,SD14,Ad Dali,SD14039, 1 , 3 , 3 , 2 , 3 , 3 , 2 , 5 , 0 , -   , -   , -   , 3 ,, 3 , 2 , 3 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennar,SD14,Ad Dinder,SD14040, 1 , 3 , 3 , 2 , 4 , 3 , 3 , 1 , 4 , -   , -   , -   , 3 ,, 4 , 2 , 3 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennar,SD14,As Suki,SD14041, 1 , 2 , 3 , 2 , 4 , 3 , 3 , 1 , 0 , -   , -   , -   , 3 ,, 4 , 2 , 3 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennar,SD14,Sharg Sennar,SD14042, 1 , 4 , 3 , 2 , 4 , 2 , 3 , 1 , 0 , -   , -   , -   , 3 , 2 , 4 , 2 , 4 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennar,SD14,Sinja,SD14043, 1 , 3 , 3 , 3 , 4 , 3 , 3 , 1 , 0 , -   , -   , -   , 3 ,, 4 , 2 , 3 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aj Jazirah,SD15,Medani Al Kubra,SD15030, 2 , 4 , 3 , 4 , 4 , 3 , 3 , 4 , 0 , -   , -   , -   , 4 ,, 3 , 2 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aj Jazirah,SD15,Janub Aj Jazirah,SD15031, 1 , 4 , 3 , 3 , 3 , 3 , 2 , 4 , 0 , -   , -   , -   , 3 ,, 2 , 2 , 4 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aj Jazirah,SD15,Um Algura,SD15032, 1 , 4 , 3 , 2 , 3 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 ,, 3 , 3 , 4 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aj Jazirah,SD15,Sharg Aj Jazirah,SD15033, 1 , 5 , 3 , 2 , 4 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 ,, 3 , 4 , 4 , 4 , 4 , Agreement at the JIAF workshop - All conditions for severity 5 definition not met.  , I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aj Jazirah,SD15,Al Hasahisa,SD15034, 1 , 4 , 3 , 4 , 3 , 3 , 2 , 1 , 4 , -   , -   , -   , 3 ,, 3 , 2 , 4 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aj Jazirah,SD15,Al Kamlin,SD15035, 1 , 4 , 3 , 3 , 3 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 ,, 2 , 1 , 4 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aj Jazirah,SD15,Al Manaqil,SD15036, 2 , 4 , 3 , 3 , 3 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 ,, 2 , 4 , 4 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aj Jazirah,SD15,Al Qurashi,SD15037, 2 , 4 , 3 , 2 , 4 , 3 , 3 , 1 , 0 , -   , -   , -   , 3 ,, 4 , 2 , 4 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Nile,SD16,Abu Hamad,SD16008, 1 , 3 , 3 , 3 , 3 , 2 , 3 , 4 , 0 , -   , -   , -   , 3 , 2 , 4 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Nile,SD16,Al Matama,SD16009, 1 , 3 , 3 , 2 , 3 , 3 , 3 , 1 , 0 , -   , -   , -   , 3 , 3 , 4 , 2 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Nile,SD16,Shendi,SD16010, 1 , 4 , 3 , 2 , 3 , 3 , 3 , 1 , 4 , -   , -   , -   , 3 , 3 , 4 , 2 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Nile,SD16,Ad Damar,SD16011, 2 , 3 , 3 , 2 , 3 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 , 3 , 4 , 3 , 3 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Nile,SD16,Atbara,SD16012, 4 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , -   , -   , -   , 3 , 2 , 4 , 4 , 3 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Nile,SD16,Barbar,SD16013, 1 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , -   , -   , -   , 3 , 2 , 4 , 4 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Nile,SD16,Al Buhaira,SD16014, 1 , 2 , 3 , 2 , 4 , 2 , 3 , 2 , 0 , -   , -   , -   , 2 , 2 , 4 , 2 , 4 , 3 , 3 , ICCG agreement to change due to pockets of needs  , I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern,SD17,Halfa,SD17014, 4 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , -   , -   , -   , 3 ,, 3 , 1 , 3 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern,SD17,Delgo,SD17015, 1 , 3 , 3 , 2 , 3 , 3 , 3 , 1 , 0 , -   , -   , -   , 3 ,, 3 , 1 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern,SD17,Al Burgaig,SD17016, 1 , 3 , 3 , 2 , 3 , 2 , 2 , 1 , 0 , -   , -   , -   , 2 ,, 3 , 1 , 3 , 2 , 3 , ICCG agreement to change due to pockets of needs  , I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern,SD17,Dongola,SD17017, 2 , 3 , 3 , 2 , 3 , 3 , 3 , 3 , 4 , -   , -   , -   , 3 , 3 , 3 , 3 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern,SD17,Al Golid,SD17018, 1 , 3 , 3 , 2 , 3 , 3 , 3 , 1 , 0 , -   , -   , -   , 3 ,, 3 , 2 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern,SD17,Ad Dabbah,SD17019, 4 , 3 , 3 , 4 , 4 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 ,, 4 , 3 , 4 , 4 , 4 ,, I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern,SD17,Merwoe,SD17020, 1 , 3 , 3 , 2 , 4 , 3 , 3 , 1 , 3 , -   , -   , -   , 3 ,, 3 , 2 , 4 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Kordofan,SD18,Ghubaish,SD18021, 1 , 4 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , -   , -   , -   , 3 ,, 3 ,, 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Kordofan,SD18,An Nuhud,SD18022, 1 , 3 , 3 , 4 , 3 , 4 , 3 , 5 , 0 , -   , -   , -   , 3 , 2 , 3 , 2 , 4 , 4 , 4 ,, I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Kordofan,SD18,Abu Zabad,SD18028, 1 , 4 , 3 , 4 , 4 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 ,, 3 , 2 , 4 , 4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Kordofan,SD18,Wad Bandah,SD18029, 1 , 4 , 3 , 3 , 3 , 4 , 3 , 5 , 0 , -   , -   , -   , 3 ,, 3 , 1 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Kordofan,SD18,Keilak,SD18085, 4 , 4 , 3 , 3 , 3 , 4 , 4 , 4 , 3 , -   , -   , -   , 4 ,, 3 ,, 3 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Kordofan,SD18,As Salam - WK,SD18086, 1 , 4 , 3 , 3 , 3 , 4 , 3 , 4 , 3 , -   , -   , -   , 3 ,, 2 ,, 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Kordofan,SD18,Abyei,SD18087, 3 , 4 , 3 , 4 , 3 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 ,, 3 , 2 , 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Kordofan,SD18,As Sunut,SD18092, 1 , 4 , 3 , 3 , 5 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 ,, 3 , 1 , 3 , 2 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Kordofan,SD18,Babanusa,SD18100, 1 , 4 , 3 , 3 , 4 , 3 , 4 , 3 , 0 , -   , -   , -   , 3 ,, 3 ,, 4 , 4 , 4 ,, I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Kordofan,SD18,Al Lagowa,SD18102, 1 , 4 , 3 , 3 , 5 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 ,, 2 ,, 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Kordofan,SD18,Al Dibab,SD18103, 1 , 4 , 3 , 3 , 4 , 3 , 3 , 3 , 0 , -   , -   , -   , 3 ,, 4 ,, 4 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Kordofan,SD18,Al Idia,SD18104, 1 , 4 , 3 , 4 , 3 , 4 , 3 , 4 , 3 , -   , -   , -   , 4 ,, 2 ,, 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Kordofan,SD18,Al Khiwai,SD18105, 1 , 4 , 4 , 4 , 3 , 4 , 3 , 5 , 0 , -   , -   , -   , 4 ,, 3 , 2 , 4 , 5 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
