,,,," 47,704,781 ", -   ," 3,975,351 "," 10,462,976 "," 28,872,672 "," 20,986,071 "," 8,356,947 "," 22,420,698 "," 15,363,218 "," 27,092,138 "," 882,066 ", -   , -   , -   ,," 32,756,543 "," 33,699,770 ",,,
Location,,,,Populaton,, Clusters' PiN (Number) , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Total Population , Population Group , Site Management  , Education , Food Security and Livlihoods , Health  , Nutrition , Protection , Shelter NFI  , WASH , RCF , GBV , Mine Action , Child Protection ,Severity, Preliminary PiN , Final PiN with refugee , Evidence & Comments ,,
North Darfur,SD02,Kernoi,SD02168," 2,800 ", IDPs , -   ," 1,098 "," 2,520 ", 672 , 523 ," 1,400 "," 1,633 "," 2,520 ", -   ,,,,4," 2,520 "," 2,520 ", Yes ,,
North Darfur,SD02,Al Lait,SD02169," 17,486 ", IDPs , -   ," 6,764 "," 15,737 "," 12,975 "," 3,264 "," 8,743 "," 15,737 "," 15,737 ", -   ,,,,4," 15,737 "," 15,737 ", Yes ,,
North Darfur,SD02,Tawila,SD02170," 572,744 ", IDPs ," 400,921 "," 142,977 "," 484,656 "," 458,195 "," 106,922 "," 510,031 "," 515,469 "," 515,470 ", -   ,,,,5," 515,470 "," 515,470 ", Yes ,,
North Darfur,SD02,At Tina,SD02171," 6,145 ", IDPs , -   , 41 ," 3,318 "," 1,475 "," 1,147 "," 2,348 "," 5,530 "," 5,531 ", -   ,,,,3," 5,531 "," 5,531 ", Yes ,,
South Darfur,SD03,Al Radoum,SD03141," 37,790 ", IDPs , -   ," 9,518 "," 33,441 "," 9,070 "," 7,055 "," 18,715 ", -   ," 34,011 ", -   ,,,,3," 34,011 "," 34,011 ", No ,,
South Darfur,SD03,Ed Al Fursan,SD03143," 33,661 ", IDPs , -   ," 10,662 "," 24,004 "," 24,004 "," 6,284 "," 16,831 "," 8,415 "," 24,004 ", -   ,,,,3," 24,004 "," 24,004 ", Yes ,,
South Darfur,SD03,Kas,SD03144," 154,100 ", IDPs ," 107,870 "," 38,994 "," 122,818 "," 94,772 "," 28,768 "," 107,024 "," 135,608 "," 138,690 ", -   ,,,,4," 138,690 "," 138,690 ", No ,,
South Darfur,SD03,Mershing,SD03145," 81,260 ", IDPs ," 56,882 "," 24,972 "," 65,008 "," 65,008 "," 15,170 "," 40,630 "," 59,272 "," 65,008 ", -   ,,,,4," 65,008 "," 65,008 ", Yes ,,
South Darfur,SD03,Um Dafoug,SD03146," 3,835 ", IDPs , -   ," 1,503 ", -   , 920 , 716 ," 1,918 "," 1,278 "," 1,918 ", -   ,,,,3," 1,918 "," 1,918 ", Yes ,,
South Darfur,SD03,Sharg Aj Jabal,SD03147," 45,850 ", IDPs , -   ," 7,449 "," 41,265 "," 34,023 "," 8,559 "," 22,854 "," 9,552 "," 41,265 ", -   ,,,,4," 41,265 "," 41,265 ", Yes ,,
South Darfur,SD03,Tulus,SD03149," 21,150 ", IDPs , -   ," 3,891 "," 17,216 ", -   ," 3,949 "," 10,575 "," 19,035 "," 19,035 ", -   ,,,,3," 19,035 "," 19,035 ", No ,,
South Darfur,SD03,Al Wihda,SD03150," 7,475 ", IDPs ," 5,233 "," 2,271 "," 6,728 "," 1,794 "," 1,345 "," 3,738 "," 6,061 "," 6,728 ", -   ,,,,4," 6,728 "," 6,728 ", Yes ,,
