,,,,,," 47,648,547 ",," 4,650,651 "," 13,271,937 "," 36,736,746 "," 28,129,290 "," 5,777,613 "," 19,078,606 "," 14,630,240 "," 14,407,859 "," 16,707,719 "," 14,235,515 "," 37,181,152 "," 3,975,351 "," 10,154,358 "," 27,817,072 "," 20,287,608 "," 8,003,960 "," 21,580,925 "," 882,066 ", -   , -   ," 15,047,395 "," 25,664,832 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,,,,,Populaton,, Previous Year's Clusters' PiN ,,,,,,,,,,, Current Clusters' PiN ,,,,,,,,,,,Absolute PiN Differences,,,,,,,,,,,% PiN Differences,,,,,,,,,,,,,,,,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Admin 3 , Admin 3 P-Code , Population , Population Group , Site Management - Old , Education Old , Food Security and Livlihoods Old , Health Old , Nutrition Old , Protection Old , CP Old  , GBV Old , Mine Action Old , Shelter NFI Old , WASH Old , Site Management - New , Education New , Food Security and Livlihoods New , Health New , Nutrition New , Protection New , CP New , GBV New , Mine Action New , Shelter NFI New , WASH New , PiN Difference for Site Management  , PiN Difference for Education , Food Security and Livlihoods , PiN Difference for Health  , PiN Difference for Nutrition , PiN Difference for Protection , PiN Difference CP , PiN Difference GBV  , PiN Difference for Mine Action  , PiN Difference for Shelter NFI ,PiN Difference for WASH,Site Management ,Education,Food Security and Livlihoods2,Health ,Nutrition,Protection,CP,GBV,Mine Action ,Shelter NFI ,WASH2,,,,,,,,,,,,,,,
Central Darfur,SD06,Azum,SD06110,,, -   , Non-displaced , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,132 "," 4,814 "," 6,667 "," 1,500 "," 4,167 ", -   ,,, 347 ," 6,667 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Darfur,SD06,Bendasi,SD06112,,," 41,658 ", Non-displaced , -   ," 7,498 "," 36,269 "," 24,301 "," 3,940 "," 12,282 "," 7,558 "," 5,793 "," 8,444 "," 17,224 "," 38,243 ", -   ," 12,387 "," 25,328 "," 8,350 "," 6,262 "," 22,879 ", -   ,,," 9,785 "," 30,615 ",," 4,889 "," -10,941 "," -15,951 "," 2,322 "," 10,597 ",,,," -7,439 "," -7,628 ",,70%,-30%,-70%,60%,90%,-100%,,,-40%,-20%,,,,,,,,,,,,,,,
Central Darfur,SD06,Mukjar,SD06130,,," 15,932 ", Non-displaced , -   ," 2,990 "," 15,932 "," 11,152 "," 1,507 "," 5,576 "," 3,328 "," 2,869 "," 3,983 "," 3,340 "," 15,932 ", -   ," 4,672 "," 9,578 "," 3,932 "," 2,949 "," 6,768 ", -   ,,," 1,706 "," 9,578 ",," 1,682 "," -6,354 "," -7,220 "," 1,442 "," 1,192 ",,,," -1,634 "," -6,354 ",,60%,-40%,-60%,100%,20%,-100%,,,-50%,-40%,,,,,,,,,,,,,,,
Central Darfur,SD06,Gharb Jabal Marrah,SD06131,,," 32,249 ", Non-displaced , -   ," 5,805 "," 27,728 "," 22,574 "," 2,930 "," 11,287 "," 6,736 "," 11,933 "," 8,062 "," 12,839 "," 32,249 ", -   ," 13,567 "," 30,731 "," 13,671 "," 6,558 "," 25,506 ", -   ,,, -   ," 29,878 ",," 7,762 "," 3,003 "," -8,903 "," 3,628 "," 14,219 ",,,,," -2,371 ",,130%,10%,-40%,120%,130%,-100%,,,-100%,-10%,,,,,,,,,,,,,,,
Central Darfur,SD06,Shamal Jabal Marrah,SD06132,,, -   , Non-displaced , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 7,738 "," 17,019 "," 16,499 "," 4,798 "," 13,327 ", -   ,,, -   ," 17,019 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Darfur,SD06,Um Dukhun,SD06135,,," 37,755 ", Non-displaced , -   ," 6,796 "," 37,755 "," 26,429 "," 3,571 "," 13,214 "," 7,886 "," 13,971 "," 9,439 "," 18,444 "," 37,687 ", -   ," 11,975 "," 19,296 "," 3,922 "," 6,947 "," 27,014 ", -   ,,," 3,216 "," 32,031 ",," 5,179 "," -18,459 "," -22,507 "," 3,376 "," 13,800 ",,,," -15,228 "," -5,656 ",,80%,-50%,-90%,90%,100%,-100%,,,-80%,-20%,,,,,,,,,,,,,,,
Central Darfur,SD06,Wadi Salih,SD06137,,, -   , Non-displaced , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,752 "," 10,397 "," 11,121 "," 2,502 "," 9,731 ", -   ,,," 2,224 "," 11,121 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Darfur,SD06,Zalingi,SD06138,,, -   , Non-displaced , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 11,818 "," 29,555 "," 25,003 "," 6,225 "," 17,292 ", -   ,,," 4,803 "," 30,434 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Darfur,SD06,Wasat Jabal Marrah,SD06139,,, -   , Non-displaced , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 11,179 "," 27,977 "," 9,707 "," 5,673 "," 22,061 ", -   ,,, -   ," 24,267 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Abu Jubayhah,SD07088,,," 85,881 ", Non-displaced , -   ," 15,459 "," 55,732 "," 53,479 "," 8,255 "," 26,919 "," 16,376 "," 26,846 "," 18,779 "," 33,561 "," 81,216 ", -   ," 32,553 "," 69,638 "," 63,594 "," 16,011 "," 61,575 ", -   ,,," 69,638 "," 60,836 ",," 17,094 "," 13,906 "," 10,115 "," 7,756 "," 34,656 ",,,," 36,077 "," -20,380 ",,110%,20%,20%,90%,130%,-100%,,,110%,-30%,,,,,,,,,,,,,,,
South Kordofan,SD07,Talawdi,SD07089,,, -   , Non-displaced , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 177 , 759 , 759 , 283 , 681 , -   ,,, 394 , 560 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Abassiya,SD07090,,," 26,911 ", Non-displaced , -   ," 4,844 "," 19,282 "," 18,838 "," 2,487 "," 9,419 "," 5,621 "," 9,959 "," 6,728 "," 23,298 "," 26,806 ", -   ," 10,988 "," 21,823 "," 13,037 "," 5,011 "," 19,268 ", -   ,,," 5,505 "," 5,505 ",," 6,144 "," 2,541 "," -5,801 "," 2,524 "," 9,849 ",,,," -17,793 "," -21,301 ",,130%,10%,-30%,100%,100%,-100%,,,-80%,-80%,,,,,,,,,,,,,,,
South Kordofan,SD07,Um Durein,SD07091,,," 71,757 ", Non-displaced , -   ," 12,916 "," 33,851 "," 23,680 "," 4,426 "," 8,970 "," 8,740 "," 3,589 "," 7,176 "," 9,802 "," 32,818 ", -   ," 13,610 "," 60,130 "," 42,879 "," 13,008 "," 35,733 ", -   ,,," 49,662 "," 55,728 ",, 694 ," 26,279 "," 19,199 "," 8,582 "," 26,763 ",,,," 39,860 "," 22,910 ",,10%,80%,80%,190%,300%,-100%,,,410%,70%,,,,,,,,,,,,,,,
South Kordofan,SD07,Ar Rashad,SD07093,,," 24,631 ", Non-displaced , -   ," 4,434 "," 16,866 "," 16,347 "," 2,292 "," 8,198 "," 4,935 "," 4,122 "," 5,795 "," 11,206 "," 20,656 ", -   ," 6,675 "," 19,688 "," 11,753 "," 4,517 "," 17,371 ", -   ,,, -   ," 6,770 ",," 2,242 "," 2,822 "," -4,594 "," 2,225 "," 9,173 ",,,,," -13,886 ",,50%,20%,-30%,100%,110%,-100%,,,-100%,-70%,,,,,,,,,,,,,,,
South Kordofan,SD07,Al Quoz,SD07094,,," 68,881 ", Non-displaced , -   ," 12,399 "," 38,970 "," 26,047 "," 2,497 "," 13,622 "," 9,170 "," 9,012 "," 8,233 "," 5,045 "," 34,142 ", -   ," 11,687 "," 52,947 "," 14,157 "," 10,737 "," 41,291 ", -   ,,," 19,662 "," 49,602 ",, -712 ," 13,977 "," -11,890 "," 8,240 "," 27,669 ",,,," 14,617 "," 15,460 ",,-10%,40%,-50%,330%,200%,-100%,,,290%,50%,,,,,,,,,,,,,,,
South Kordofan,SD07,Dilling,SD07095,,," 72,814 ", Non-displaced , -   ," 13,107 "," 51,777 "," 40,645 "," 2,768 "," 20,601 "," 12,779 "," 19,270 "," 29,431 "," 16,621 "," 65,309 ", -   ," 33,609 "," 75,529 "," 19,290 "," 14,630 "," 56,263 ", -   ,,," 13,978 "," 75,529 ",," 20,503 "," 23,752 "," -21,355 "," 11,862 "," 35,662 ",,,," -2,643 "," 10,220 ",,160%,50%,-50%,430%,170%,-100%,,,-20%,20%,,,,,,,,,,,,,,,
South Kordofan,SD07,Heiban,SD07096,,," 138,054 ", Non-displaced , -   ," 24,850 "," 65,126 "," 45,558 "," 8,515 "," 17,257 "," 12,010 "," 6,904 "," 13,805 "," 18,858 "," 102,037 ", -   ," 45,510 "," 96,272 "," 82,519 "," 25,034 "," 96,272 ", -   ,,," 66,474 "," 59,098 ",," 20,660 "," 31,146 "," 36,961 "," 16,519 "," 79,015 ",,,," 47,616 "," -42,939 ",,80%,50%,80%,190%,460%,-100%,,,250%,-40%,,,,,,,,,,,,,,,
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,,, 477 , Non-displaced , -   , 86 , 410 , 262 , 29 , 167 , 100 , 178 , 119 , 369 , 364 , -   ," 2,149 "," 5,082 "," 5,082 "," 1,156 "," 4,447 ", -   ,,," 5,029 "," 3,851 ",," 2,063 "," 4,672 "," 4,820 "," 1,127 "," 4,280 ",,,," 4,660 "," 3,487 ",,2400%,1140%,1840%,3890%,2560%,-100%,,,1260%,960%,,,,,,,,,,,,,,,
South Kordofan,SD07,Kadugli,SD07098,,, 240 , Non-displaced , -   , 51 , 132 , 79 , 15 , 42 , 29 , 25 , 60 , 8 , 92 , -   ," 4,178 "," 10,310 "," 9,164 "," 2,085 "," 10,310 ", -   ,,," 3,510 "," 10,310 ",," 4,127 "," 10,178 "," 9,085 "," 2,070 "," 10,268 ",,,," 3,502 "," 10,218 ",,8090%,7710%,11470%,13800%,24450%,-100%,,,43780%,11100%,,,,,,,,,,,,,,,
South Kordofan,SD07,Al Buram,SD07099,,," 97,552 ", Non-displaced , -   ," 17,559 "," 46,019 "," 32,192 "," 6,017 "," 12,194 "," 8,487 "," 4,879 "," 9,755 "," 17,767 "," 44,616 ", -   ," 30,589 "," 87,464 "," 11,663 "," 17,692 "," 68,035 ", -   ,,," 17,819 "," 87,464 ",," 13,030 "," 41,445 "," -20,529 "," 11,675 "," 55,841 ",,,, 52 ," 42,848 ",,70%,90%,-60%,190%,460%,-100%,,,0%,100%,,,,,,,,,,,,,,,
South Kordofan,SD07,Habila - SK,SD07103,,, 483 , Non-displaced , -   , 87 , 415 , 386 , 24 , 169 , 101 , 180 , 121 , 411 , 423 , -   ," 9,704 "," 22,307 "," 17,083 "," 4,191 "," 15,972 ", -   ,,," 9,682 "," 22,307 ",," 9,617 "," 21,892 "," 16,697 "," 4,167 "," 15,803 ",,,," 9,271 "," 21,884 ",,11070%,5270%,4320%,17360%,9350%,-100%,,,2260%,5170%,,,,,,,,,,,,,,,
South Kordofan,SD07,Abu Kershola,SD07104,,," 22,620 ", Non-displaced , -   ," 4,072 "," 17,828 "," 12,441 ", 540 ," 7,917 "," 4,725 "," 8,370 "," 5,655 "," 13,778 "," 19,483 ", -   ," 11,114 "," 26,787 "," 21,671 "," 5,456 "," 20,983 ", -   ,,," 12,462 "," 26,787 ",," 7,042 "," 8,959 "," 9,230 "," 4,916 "," 13,066 ",,,," -1,316 "," 7,304 ",,170%,50%,70%,910%,170%,-100%,,,-10%,40%,,,,,,,,,,,,,,,
South Kordofan,SD07,Al Leri,SD07105,,," 20,027 ", Non-displaced , -   ," 4,506 "," 11,639 "," 9,707 "," 1,837 "," 3,550 "," 3,169 "," 2,092 ", -   ," 7,217 "," 14,318 ", -   , 550 ," 9,381 "," 5,341 "," 2,846 "," 7,817 ", -   ,,," 8,143 "," 8,530 ",," -3,956 "," -2,258 "," -4,366 "," 1,009 "," 4,267 ",,,, 926 ," -5,788 ",,-90%,-20%,-40%,50%,120%,-100%,,,10%,-40%,,,,,,,,,,,,,,,
South Kordofan,SD07,At Tadamon - SK,SD07106,,," 47,426 ", Non-displaced , -   ," 8,537 "," 13,704 "," 16,719 "," 4,337 "," 6,289 "," 4,306 "," 5,303 "," 5,176 "," 4,204 "," 26,164 ", -   ," 13,781 "," 31,736 "," 14,456 "," 7,703 "," 21,144 ", -   ,,," 11,362 "," 32,574 ",," 5,244 "," 18,032 "," -2,263 "," 3,366 "," 14,855 ",,,," 7,158 "," 6,410 ",,60%,130%,-10%,80%,240%,-100%,,,170%,20%,,,,,,,,,,,,,,,
South Kordofan,SD07,Delami,SD07107,,," 10,367 ", Non-displaced , -   ," 1,866 "," 6,746 "," 5,190 ", 427 ," 2,651 "," 1,680 "," 2,303 "," 1,754 "," 3,211 "," 5,691 ", -   ," 4,014 "," 2,998 "," 2,333 "," 1,769 "," 6,803 ", -   ,,," 3,645 "," 6,803 ",," 2,148 "," -3,748 "," -2,857 "," 1,342 "," 4,152 ",,,, 434 ," 1,112 ",,120%,-60%,-60%,310%,160%,-100%,,,10%,20%,,,,,,,,,,,,,,,
South Kordofan,SD07,Ghadeer,SD07108,,, -   , Non-displaced , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 7,439 "," 15,785 "," 7,694 "," 3,961 "," 15,230 ", -   ,,," 18,649 "," 14,142 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Nile,SD08,Baw,SD08104,,," 55,855 ", Non-displaced , -   ," 10,054 "," 49,763 "," 28,836 "," 3,692 "," 13,291 "," 7,999 "," 19,190 "," 26,582 "," 45,885 "," 50,035 ", -   , -   , -   , -   , -   , -   , -   ,,, -   , -   ,,,,,,,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,,,-100%,-100%,,,,,,,,,,,,,,,
Blue Nile,SD08,Ed Damazine,SD08105,,," 151,601 ", Non-displaced , -   ," 27,288 "," 121,867 "," 75,733 "," 11,632 "," 49,237 "," 21,260 "," 50,087 "," 34,623 "," 78,510 "," 90,670 ", -   ," 55,426 "," 132,946 "," 114,233 "," 32,445 "," 129,181 ", -   ,,," 125,490 "," 119,954 ",," 28,138 "," 11,079 "," 38,500 "," 20,813 "," 79,944 ",,,," 46,980 "," 29,284 ",,100%,10%,50%,180%,160%,-100%,,,60%,30%,,,,,,,,,,,,,,,
Blue Nile,SD08,Al Kurmuk,SD08106,,," 62,972 ", Non-displaced , -   ," 11,335 "," 39,649 "," 18,811 "," 5,151 "," 14,128 "," 9,217 "," 10,871 "," 8,961 "," 18,939 "," 30,371 ", -   ," 14,928 "," 72,451 "," 15,905 "," 13,551 "," 47,727 ", -   ,,," 69,368 "," 72,451 ",," 3,593 "," 32,802 "," -2,906 "," 8,400 "," 33,599 ",,,," 50,429 "," 42,080 ",,30%,80%,-20%,160%,240%,-100%,,,270%,140%,,,,,,,,,,,,,,,
Blue Nile,SD08,Ar Rusayris,SD08107,,," 72,608 ", Non-displaced , -   ," 13,069 "," 49,531 "," 32,363 "," 6,394 "," 15,448 "," 13,282 "," 20,918 ", -   ," 9,228 "," 52,698 ", -   ," 22,833 "," 97,561 "," 36,198 "," 19,501 ", -   , -   ,,," 75,624 "," 66,549 ",," 9,764 "," 48,030 "," 3,835 "," 13,107 ",,,,," 66,396 "," 13,851 ",,70%,100%,10%,200%,-100%,-100%,,,720%,30%,,,,,,,,,,,,,,,
Blue Nile,SD08,At Tadamon - BN,SD08108,,," 62,704 ", Non-displaced , -   ," 11,287 "," 37,978 "," 20,115 "," 4,468 "," 14,760 "," 9,521 "," 11,910 "," 9,516 "," 19,019 "," 44,127 ", -   , -   , -   , -   , -   , -   , -   ,,, -   , -   ,,,,,,,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,,,-100%,-100%,,,,,,,,,,,,,,,
Blue Nile,SD08,Geisan,SD08109,,," 43,348 ", Non-displaced , -   ," 7,803 "," 27,969 "," 20,498 "," 3,273 "," 13,500 "," 8,223 "," 13,415 "," 9,404 "," 23,268 "," 24,930 ", -   ," 12,126 "," 42,102 "," 37,136 "," 9,531 "," 27,107 ", -   ,,," 33,560 "," 32,528 ",," 4,323 "," 14,133 "," 16,639 "," 6,258 "," 13,607 ",,,," 10,292 "," 7,598 ",,60%,50%,80%,190%,100%,-100%,,,40%,30%,,,,,,,,,,,,,,,
Blue Nile,SD08,Wad Al Mahi,SD08110,,," 33,405 ", Non-displaced , -   ," 9,236 "," 22,158 "," 14,270 "," 2,806 "," 6,886 "," 4,255 "," 4,491 ", -   ," 9,579 "," 26,407 ", -   ," 9,635 "," 23,355 "," 26,881 "," 7,877 "," 31,361 ", -   ,,," 2,466 "," 35,842 ",, 399 ," 1,197 "," 12,611 "," 5,071 "," 24,475 ",,,," -7,113 "," 9,435 ",,0%,10%,90%,180%,360%,-100%,,,-70%,40%,,,,,,,,,,,,,,,
White Nile,SD09,Ad Diwaim,SD09044,,," 460,840 ", Non-displaced , -   ," 82,951 "," 167,022 "," 183,671 "," 27,824 "," 95,590 "," 63,565 "," 67,265 "," 58,892 "," 69,628 "," 183,437 ", -   ," 152,856 "," 362,928 "," 324,851 "," 88,063 "," 231,617 ", -   ,,," 57,482 "," 217,833 ",," 69,905 "," 195,906 "," 141,180 "," 60,239 "," 136,027 ",,,," -12,146 "," 34,396 ",,80%,120%,80%,220%,140%,-100%,,,-20%,20%,,,,,,,,,,,,,,,
White Nile,SD09,Um Rimta,SD09045,,," 181,987 ", Non-displaced , -   ," 32,758 "," 60,558 "," 64,810 "," 5,520 "," 34,097 "," 16,632 "," 20,825 "," 20,127 "," 7,663 "," 98,695 ", -   ," 49,549 "," 115,492 "," 122,392 "," 28,023 "," 45,897 ", -   ,,, -   ," 136,238 ",," 16,791 "," 54,934 "," 57,582 "," 22,503 "," 11,800 ",,,,," 37,543 ",,50%,90%,90%,410%,30%,-100%,,,-100%,40%,,,,,,,,,,,,,,,
White Nile,SD09,Rabak,SD09046,,," 374,181 ", Non-displaced , -   ," 67,353 "," 193,561 "," 125,124 "," 22,004 "," 90,626 "," 58,087 "," 75,063 "," 58,970 "," 150,769 "," 181,426 ", -   ," 63,423 "," 214,588 "," 214,588 "," 72,534 "," 116,426 ", -   ,,," 105,598 "," 204,886 ",," -3,930 "," 21,027 "," 89,464 "," 50,530 "," 25,800 ",,,," -45,171 "," 23,460 ",,-10%,10%,70%,230%,30%,-100%,,,-30%,10%,,,,,,,,,,,,,,,
White Nile,SD09,Kosti,SD09047,,," 345,034 ", Non-displaced , -   ," 62,106 "," 183,917 "," 143,376 "," 18,522 "," 97,565 "," 43,235 "," 44,877 "," 66,376 "," 97,027 "," 148,777 ", -   ," 63,294 "," 220,399 "," 220,399 "," 70,419 "," 115,332 ", -   ,,," 139,487 "," 82,193 ",," 1,188 "," 36,482 "," 77,023 "," 51,897 "," 17,767 ",,,," 42,460 "," -66,584 ",,0%,20%,50%,280%,20%,-100%,,,40%,-40%,,,,,,,,,,,,,,,
White Nile,SD09,Tendalti,SD09048,,," 216,332 ", Non-displaced , -   ," 38,940 "," 82,180 "," 50,049 "," 11,977 "," 41,250 "," 28,037 "," 13,338 "," 24,540 "," 13,957 "," 110,513 ", -   ," 56,559 "," 152,942 "," 82,698 "," 40,374 "," 66,123 ", -   ,,," 32,561 "," 192,506 ",," 17,619 "," 70,762 "," 32,649 "," 28,397 "," 24,873 ",,,," 18,604 "," 81,993 ",,50%,90%,70%,240%,60%,-100%,,,130%,70%,,,,,,,,,,,,,,,
White Nile,SD09,As Salam / Ar Rawat,SD09049,,, -   , Non-displaced , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 15,711 "," 37,908 "," 51,155 "," 15,137 "," 24,792 ", -   ,,," 69,927 "," 65,344 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Nile,SD09,Al Gitaina,SD09050,,," 356,653 ", Non-displaced , -   ," 64,198 "," 189,204 "," 123,799 "," 17,586 "," 65,301 "," 44,877 "," 38,421 "," 38,140 "," 18,015 "," 52,070 ", -   ," 55,506 "," 154,630 "," 154,630 "," 53,613 "," 84,781 ", -   ,,, -   ," 141,136 ",," -8,692 "," -34,574 "," 30,831 "," 36,027 "," 19,480 ",,,,," 89,066 ",,-10%,-20%,20%,200%,30%,-100%,,,-100%,170%,,,,,,,,,,,,,,,
White Nile,SD09,Aj Jabalain,SD09051,,," 225,999 ", Non-displaced , -   ," 40,680 "," 161,928 "," 124,299 "," 8,163 "," 79,100 "," 33,719 "," 40,680 ", -   ," 184,424 "," 225,140 ", -   ," 43,094 "," 136,189 "," 136,189 "," 34,506 "," 94,190 ", -   ,,," 94,190 "," 96,808 ",," 2,414 "," -25,739 "," 11,890 "," 26,343 "," 15,090 ",,,," -90,234 "," -128,332 ",,10%,-20%,10%,320%,20%,-100%,,,-50%,-60%,,,,,,,,,,,,,,,
White Nile,SD09,Guli,SD09052,,," 223,531 ", Non-displaced , -   ," 40,236 "," 86,811 "," 83,585 "," 12,559 "," 43,762 "," 21,098 "," 14,628 ", -   ," 28,754 "," 113,578 ", -   ," 8,242 "," 112,387 "," 105,104 "," 42,002 "," 112,387 ", -   ,,," 68,110 ", -   ,," -31,994 "," 25,576 "," 21,519 "," 29,443 "," 68,625 ",,,," 39,356 ",,,-80%,30%,30%,230%,160%,-100%,,,140%,-100%,,,,,,,,,,,,,,,
Red Sea,SD10,Dordieb,SD10063,,," 75,935 ", Non-displaced , -   ," 13,668 "," 27,204 "," 15,593 "," 8,406 "," 9,637 "," 6,678 "," 3,949 ", -   ," 8,093 "," 41,121 ", -   ," 1,769 "," 15,139 ", -   ," 11,617 "," 22,708 ", -   ,,," 25,952 "," 54,165 ",," -11,899 "," -12,065 ",," 3,211 "," 13,071 ",,,," 17,859 "," 13,044 ",,-90%,-40%,-100%,40%,140%,-100%,,,220%,30%,,,,,,,,,,,,,,,
Red Sea,SD10,Port Sudan,SD10064,,," 353,192 ", Non-displaced , -   ," 63,575 "," 111,099 "," 160,850 "," 30,393 "," 106,915 "," 65,463 "," 104,437 "," 73,981 "," 177,697 "," 139,785 ", -   ," 57,381 "," 106,033 ", -   ," 54,300 "," 106,033 ", -   ,,," 38,249 "," 14,152 ",," -6,194 "," -5,066 ",," 23,907 ", -882 ,,,," -139,448 "," -125,633 ",,-10%,0%,-100%,80%,0%,-100%,,,-80%,-90%,,,,,,,,,,,,,,,
Red Sea,SD10,Tawkar,SD10065,,," 218,303 ", Non-displaced , -   ," 39,295 "," 77,945 "," 44,513 "," 27,055 "," 27,593 "," 26,802 "," 11,234 ", -   ," 1,199 "," 162,177 ", -   ," 58,937 "," 105,703 "," 105,703 "," 32,193 "," 48,089 ", -   ,,," 26,553 "," 105,703 ",," 19,643 "," 27,758 "," 61,191 "," 5,138 "," 20,496 ",,,," 25,354 "," -56,474 ",,50%,40%,140%,20%,70%,-100%,,,2110%,-30%,,,,,,,,,,,,,,,
Red Sea,SD10,Hala'ib,SD10066,,," 33,394 ", Non-displaced , -   ," 6,011 "," 13,322 "," 6,889 "," 5,362 "," 4,249 "," 2,942 "," 1,748 ", -   , 362 ," 28,428 ", -   , -   ," 19,368 "," 15,921 "," 5,159 "," 10,084 ", -   ,,," 15,038 "," 10,404 ",,," 6,046 "," 9,032 ", -203 ," 5,835 ",,,," 14,676 "," -18,024 ",,-100%,50%,130%,0%,140%,-100%,,,4050%,-60%,,,,,,,,,,,,,,,
Red Sea,SD10,Jubayt Elma'aadin,SD10067,,," 128,899 ", Non-displaced , -   ," 23,202 "," 50,784 "," 25,901 "," 12,878 "," 16,155 "," 11,236 "," 6,492 ", -   ," 32,104 "," 71,406 ", -   , -   ," 71,963 ", -   ," 19,579 "," 38,271 ", -   ,,," 31,600 "," 63,262 ",,," 21,179 ",," 6,701 "," 22,116 ",,,, -504 ," -8,144 ",,-100%,40%,-100%,50%,140%,-100%,,,0%,-10%,,,,,,,,,,,,,,,
Red Sea,SD10,Sawakin,SD10068,,," 107,455 ", Non-displaced , -   ," 6,189 "," 17,918 "," 24,255 "," 6,309 "," 14,419 "," 13,776 "," 6,401 ", -   ," 3,309 "," 72,777 ", -   , -   ," 28,585 "," 32,155 "," 16,449 "," 32,155 ", -   ,,, -   , -   ,,," 10,667 "," 7,900 "," 10,140 "," 17,736 ",,,,,,,-100%,60%,30%,160%,120%,-100%,,,-100%,-100%,,,,,,,,,,,,,,,
Red Sea,SD10,Al Ganab,SD10069,,," 152,306 ", Non-displaced , -   ," 27,415 "," 59,952 "," 50,350 "," 14,883 "," 19,068 "," 13,266 "," 7,648 ", -   ," 5,363 "," 76,329 ", -   , -   ," 119,960 ", -   ," 23,114 "," 45,183 ", -   ,,," 106,233 "," 111,737 ",,," 60,008 ",," 8,231 "," 26,115 ",,,," 100,870 "," 35,408 ",,-100%,100%,-100%,60%,140%,-100%,,,1880%,50%,,,,,,,,,,,,,,,
Red Sea,SD10,Haya,SD10070,,," 353,177 ", Non-displaced , -   ," 63,572 "," 97,670 "," 117,337 "," 43,119 "," 44,414 "," 30,859 "," 17,937 ", -   ," 28,127 "," 191,292 ", -   ," 22,233 "," 178,970 ", -   ," 53,813 "," 48,089 ", -   ,,," 178,970 "," 178,970 ",," -41,339 "," 81,300 ",," 10,694 "," 3,675 ",,,," 150,843 "," -12,322 ",,-70%,80%,-100%,20%,10%,-100%,,,540%,-10%,,,,,,,,,,,,,,,
Red Sea,SD10,Sinkat,SD10071,,," 229,434 ", Non-displaced , -   ," 41,298 "," 83,501 "," 78,671 "," 25,546 "," 29,678 "," 28,641 "," 12,513 ", -   ," 2,911 "," 120,853 ", -   ," 21,475 "," 48,089 ", -   ," 35,088 "," 48,089 ", -   ,,, -   ," 46,480 ",," -19,823 "," -35,412 ",," 9,542 "," 18,411 ",,,,," -74,373 ",,-50%,-40%,-100%,40%,60%,-100%,,,-100%,-60%,,,,,,,,,,,,,,,
Red Sea,SD10,Agig,SD10072,,," 102,899 ", Non-displaced , -   ," 18,522 "," 44,586 "," 20,667 "," 9,649 "," 12,894 "," 8,967 "," 5,178 ", -   ," 21,965 "," 73,726 ", -   , -   ," 49,259 ", -   ," 15,724 "," 30,736 ", -   ,,, -   ," 49,259 ",,," 4,673 ",," 6,075 "," 17,842 ",,,,," -24,467 ",,-100%,10%,-100%,60%,140%,-100%,,,-100%,-30%,,,,,,,,,,,,,,,
Kassala,SD11,Halfa Aj Jadeedah,SD11052,,," 308,604 ", Non-displaced , -   ," 55,549 "," 127,102 "," 83,266 "," 11,617 "," 64,779 "," 42,949 "," 46,249 ", -   ," 30,655 "," 117,907 ", -   ," 15,771 "," 148,033 "," 148,033 "," 58,112 "," 98,404 ", -   ,,, -   ," 147,368 ",," -39,778 "," 20,931 "," 64,767 "," 46,495 "," 33,625 ",,,,," 29,461 ",,-70%,20%,80%,400%,50%,-100%,,,-100%,20%,,,,,,,,,,,,,,,
Kassala,SD11,Madeinat Kassala,SD11053,,," 412,844 ", Non-displaced , -   ," 74,312 "," 195,681 "," 142,233 "," 39,098 "," 102,080 "," 65,129 "," 42,805 "," 66,855 "," 78,475 "," 329,956 ", -   ," 80,625 ", -   ," 216,940 "," 81,248 "," 216,940 ", -   ,,, -   ," 33,019 ",," 6,313 ",," 74,707 "," 42,150 "," 114,860 ",,,,," -296,937 ",,10%,-100%,50%,110%,110%,-100%,,,-100%,-90%,,,,,,,,,,,,,,,
