,,,,,," 47,648,547 ",," 4,650,651 "," 13,271,937 "," 36,736,746 "," 28,129,290 "," 5,777,613 "," 19,078,606 "," 14,630,240 "," 14,407,859 "," 16,707,719 "," 14,235,515 "," 37,181,152 "," 3,975,351 "," 10,154,358 "," 27,817,072 "," 20,287,608 "," 8,003,960 "," 21,580,925 "," 882,066 ", -   , -   ," 15,047,395 "," 25,664,832 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,,,,,Populaton,, Previous Year's Clusters' PiN ,,,,,,,,,,, Current Clusters' PiN ,,,,,,,,,,,Absolute PiN Differences,,,,,,,,,,,% PiN Differences,,,,,,,,,,,,,,,,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Admin 3 , Admin 3 P-Code , Population , Population Group , Site Management - Old , Education Old , Food Security and Livlihoods Old , Health Old , Nutrition Old , Protection Old , CP Old  , GBV Old , Mine Action Old , Shelter NFI Old , WASH Old , Site Management - New , Education New , Food Security and Livlihoods New , Health New , Nutrition New , Protection New , CP New , GBV New , Mine Action New , Shelter NFI New , WASH New , PiN Difference for Site Management  , PiN Difference for Education , Food Security and Livlihoods , PiN Difference for Health  , PiN Difference for Nutrition , PiN Difference for Protection , PiN Difference CP , PiN Difference GBV  , PiN Difference for Mine Action  , PiN Difference for Shelter NFI ,PiN Difference for WASH,Site Management ,Education,Food Security and Livlihoods2,Health ,Nutrition,Protection,CP,GBV,Mine Action ,Shelter NFI ,WASH2,,,,,,,,,,,,,,,
North Darfur,SD02,Dar As Salam,SD02113,,," 124,035 ", IDPs ," 37,211 "," 22,326 "," 87,817 "," 93,026 "," 21,360 "," 86,825 "," 72,126 "," 86,825 "," 99,228 "," 81,577 "," 122,100 "," 167,537 "," 86,943 "," 215,405 "," 147,193 "," 44,680 "," 166,983 ", -   ,,," 211,466 "," 215,405 "," 130,326 "," 64,617 "," 127,588 "," 54,167 "," 23,320 "," 80,158 ",,,," 129,889 "," 93,305 ",350%,290%,150%,60%,110%,90%,-100%,,,160%,80%,,,,,,,,,,,,,,,
North Darfur,SD02,Al Fasher,SD02114,,," 702,481 ", IDPs ," 561,985 "," 126,447 "," 497,357 "," 526,861 "," 112,906 "," 632,233 "," 414,815 "," 491,738 "," 597,109 "," 324,560 "," 522,882 "," 147,213 "," 82,421 "," 189,274 "," 156,056 "," 39,260 "," 188,171 ", -   ,,," 189,273 "," 189,274 "," -414,772 "," -44,026 "," -308,083 "," -370,805 "," -73,646 "," -444,062 ",,,," -135,287 "," -333,608 ",-70%,-30%,-60%,-70%,-70%,-70%,-100%,,,-40%,-60%,,,,,,,,,,,,,,,
North Darfur,SD02,Al Koma,SD02116,,," 10,045 ", IDPs ," 3,014 "," 1,808 "," 7,112 "," 9,041 "," 1,435 "," 5,023 "," 5,841 "," 3,014 "," 5,023 "," 9,077 "," 5,257 "," 34,608 "," 18,066 "," 44,496 "," 39,552 "," 9,230 "," 34,608 ", -   ,,," 29,178 "," 44,496 "," 31,594 "," 16,258 "," 37,384 "," 30,512 "," 7,795 "," 29,585 ",,,," 20,101 "," 39,239 ",1050%,900%,530%,340%,540%,590%,-100%,,,220%,750%,,,,,,,,,,,,,,,
North Darfur,SD02,Al Malha,SD02117,,," 6,255 ", IDPs ," 1,877 "," 1,126 "," 4,429 "," 4,691 ", 859 ," 3,128 "," 3,637 ", 626 ," 3,128 "," 1,246 "," 6,255 "," 50,278 "," 35,986 "," 90,500 "," 24,133 "," 18,772 "," 50,072 ", -   ,,," 89,908 "," 90,500 "," 48,401 "," 34,860 "," 86,071 "," 19,442 "," 17,913 "," 46,944 ",,,," 88,662 "," 84,245 ",2580%,3100%,1940%,410%,2090%,1500%,-100%,,,7120%,1350%,,,,,,,,,,,,,,,
North Darfur,SD02,As Serief,SD02118,,," 13,075 ", IDPs ," 3,923 "," 2,354 "," 9,257 "," 7,845 "," 1,778 "," 6,538 "," 7,603 "," 3,923 "," 6,538 "," 9,042 "," 11,897 ", -   ," 7,876 "," 18,420 "," 4,912 "," 3,821 "," 14,327 ", -   ,,," 13,918 "," 18,420 ",," 5,523 "," 9,163 "," -2,933 "," 2,043 "," 7,789 ",,,," 4,876 "," 6,523 ",-100%,230%,100%,-40%,110%,120%,-100%,,,50%,50%,,,,,,,,,,,,,,,
North Darfur,SD02,At Tawisha,SD02119,,," 1,945 ", IDPs , 195 , 350 ," 1,377 "," 1,167 ", 382 , 973 ," 1,149 ", 584 , 973 , 700 , -   ," 2,083 "," 1,209 "," 2,678 ", 714 , 555 ," 2,083 ", -   ,,," 1,984 "," 2,678 "," 1,888 ", 859 ," 1,301 ", -453 , 173 ," 1,110 ",,,," 1,284 ",,970%,250%,90%,-40%,50%,110%,-100%,,,180%,,,,,,,,,,,,,,,,
North Darfur,SD02,Um Baru,SD02120,,," 1,360 ", IDPs , 408 , 245 , 963 , 816 , 80 , 680 , 791 , 408 , 680 , 231 , -   ," 11,313 "," 6,402 "," 14,546 "," 3,879 "," 3,017 "," 8,081 ", -   ,,," 13,199 "," 14,546 "," 10,905 "," 6,157 "," 13,583 "," 3,063 "," 2,937 "," 7,401 ",,,," 12,968 ",,2670%,2520%,1410%,380%,3670%,1090%,-100%,,,5610%,,,,,,,,,,,,,,,,
North Darfur,SD02,Kebkabiya,SD02124,,," 82,555 ", IDPs ," 24,767 "," 14,860 "," 58,449 "," 61,916 "," 9,805 "," 57,789 "," 48,748 "," 24,767 "," 41,278 "," 61,047 "," 64,500 "," 71,712 "," 32,569 "," 92,201 "," 71,179 "," 19,125 "," 91,533 ", -   ,,," 65,512 "," 92,201 "," 46,945 "," 17,709 "," 33,752 "," 9,263 "," 9,320 "," 33,744 ",,,," 4,465 "," 27,701 ",190%,120%,60%,10%,100%,60%,-100%,,,10%,40%,,,,,,,,,,,,,,,
North Darfur,SD02,Kelemando,SD02126,,," 13,232 ", IDPs ," 3,970 "," 2,382 "," 9,368 "," 9,924 "," 1,820 "," 9,262 "," 7,695 "," 6,617 "," 6,616 "," 3,734 "," 8,582 "," 14,936 "," 6,388 "," 17,944 "," 5,121 "," 3,983 "," 14,936 ", -   ,,," 19,203 "," 19,203 "," 10,966 "," 4,006 "," 8,576 "," -4,803 "," 2,163 "," 5,674 ",,,," 15,469 "," 10,621 ",280%,170%,90%,-50%,120%,60%,-100%,,,410%,120%,,,,,,,,,,,,,,,
North Darfur,SD02,Kutum,SD02128,,," 155,003 ", IDPs ," 108,503 "," 27,901 "," 109,742 "," 116,252 "," 18,831 "," 108,502 "," 90,135 "," 108,502 "," 124,002 "," 137,738 "," 94,319 "," 142,163 "," 78,304 "," 180,527 "," 48,742 "," 37,913 "," 179,970 ", -   ,,," 182,781 "," 182,781 "," 33,660 "," 50,404 "," 70,785 "," -67,510 "," 19,082 "," 71,468 ",,,," 45,043 "," 88,462 ",30%,180%,60%,-60%,100%,70%,-100%,,,30%,90%,,,,,,,,,,,,,,,
North Darfur,SD02,Melit,SD02129,,," 46,779 ", IDPs ," 23,390 "," 8,420 "," 33,120 "," 35,084 "," 6,762 "," 32,745 "," 27,623 "," 32,745 "," 23,390 "," 23,827 "," 34,691 "," 42,354 "," 22,321 "," 54,455 "," 14,521 "," 11,295 "," 42,354 ", -   ,,," 54,455 "," 54,455 "," 18,964 "," 13,901 "," 21,335 "," -20,563 "," 4,533 "," 9,609 ",,,," 30,628 "," 19,764 ",80%,170%,60%,-60%,70%,30%,-100%,,,130%,60%,,,,,,,,,,,,,,,
North Darfur,SD02,Saraf Omra,SD02133,,," 65,012 ", IDPs ," 32,506 "," 11,702 "," 46,028 "," 48,759 "," 8,837 "," 45,508 "," 38,390 "," 45,509 "," 32,506 "," 52,519 "," 65,012 "," 56,267 "," 18,491 "," 72,344 "," 19,292 "," 15,006 "," 56,267 ", -   ,,," 72,343 "," 72,344 "," 23,761 "," 6,789 "," 26,316 "," -29,467 "," 6,169 "," 10,759 ",,,," 19,824 "," 7,332 ",70%,60%,60%,-60%,70%,20%,-100%,,,40%,10%,,,,,,,,,,,,,,,
North Darfur,SD02,Um Kadadah,SD02136,,," 38,640 ", IDPs ," 11,592 "," 6,955 "," 27,357 "," 28,980 "," 5,775 "," 27,048 "," 22,469 "," 27,048 "," 19,320 "," 19,288 "," 30,692 "," 30,538 "," 18,996 "," 39,263 "," 26,829 "," 8,144 "," 30,064 ", -   ,,," 22,540 "," 39,263 "," 18,946 "," 12,041 "," 11,906 "," -2,151 "," 2,369 "," 3,016 ",,,," 3,252 "," 8,571 ",160%,170%,40%,-10%,40%,10%,-100%,,,20%,30%,,,,,,,,,,,,,,,
North Darfur,SD02,Kernoi,SD02168,,," 1,605 ", IDPs , 482 , 289 ," 1,136 "," 1,204 ", 214 , 803 , 934 , 803 , 803 , 436 , -   , -   ," 1,098 "," 2,520 ", 672 , 523 ," 1,400 ", -   ,,," 1,633 "," 2,520 ",, 809 ," 1,384 ", -532 , 309 , 597 ,,,," 1,197 ",,-100%,280%,120%,-40%,140%,70%,-100%,,,270%,,,,,,,,,,,,,,,,
North Darfur,SD02,Al Lait,SD02169,,," 13,663 ", IDPs ," 4,099 "," 2,459 "," 9,673 "," 10,247 "," 2,320 "," 6,832 "," 7,945 "," 6,833 "," 6,832 "," 8,544 "," 13,663 ", -   ," 6,764 "," 15,737 "," 12,975 "," 3,264 "," 8,743 ", -   ,,," 15,737 "," 15,737 ",," 4,305 "," 6,064 "," 2,728 ", 944 ," 1,911 ",,,," 7,193 "," 2,074 ",-100%,180%,60%,30%,40%,30%,-100%,,,80%,20%,,,,,,,,,,,,,,,
North Darfur,SD02,Tawila,SD02170,,," 215,994 ", IDPs ," 64,799 "," 38,879 "," 152,924 "," 161,996 "," 37,196 "," 194,395 "," 127,545 "," 151,197 "," 183,595 "," 160,932 "," 181,241 "," 400,921 "," 142,977 "," 484,656 "," 458,195 "," 106,922 "," 510,031 ", -   ,,," 515,469 "," 515,470 "," 336,122 "," 104,098 "," 331,732 "," 296,200 "," 69,726 "," 315,636 ",,,," 354,537 "," 334,229 ",520%,270%,220%,180%,190%,160%,-100%,,,220%,180%,,,,,,,,,,,,,,,
North Darfur,SD02,At Tina,SD02171,,," 5,385 ", IDPs ," 1,616 ", 969 ," 3,813 "," 3,231 ", 722 ," 2,693 "," 3,132 "," 2,693 "," 2,693 "," 4,559 "," 5,385 ", -   , 41 ," 3,318 "," 1,475 "," 1,147 "," 2,348 ", -   ,,," 5,530 "," 5,531 ",, -928 , -495 ," -1,756 ", 425 , -345 ,,,, 971 , 146 ,-100%,-100%,-10%,-50%,60%,-10%,-100%,,,20%,0%,,,,,,,,,,,,,,,
South Darfur,SD03,Al Radoum,SD03141,,," 37,790 ", IDPs ," 3,779 "," 6,802 "," 26,755 "," 28,343 "," 2,082 "," 18,895 "," 21,975 "," 18,895 "," 18,895 "," 9,559 "," 32,840 ", -   ," 9,518 "," 33,441 "," 9,070 "," 7,055 "," 18,715 ", -   ,,, -   ," 34,011 ",," 2,716 "," 6,686 "," -19,273 "," 4,973 ", -180 ,,,,," 1,171 ",-100%,40%,20%,-70%,240%,0%,-100%,,,-100%,0%,,,,,,,,,,,,,,,
South Darfur,SD03,Ed Al Fursan,SD03143,,," 33,541 ", IDPs ," 16,771 "," 6,037 "," 23,747 "," 25,156 "," 2,200 "," 23,479 "," 19,505 "," 16,772 "," 16,771 "," 18,038 "," 32,766 ", -   ," 10,662 "," 24,004 "," 24,004 "," 6,284 "," 16,831 ", -   ,,," 8,415 "," 24,004 ",," 4,625 ", 257 ," -1,152 "," 4,084 "," -6,648 ",,,," -9,623 "," -8,762 ",-100%,80%,0%,0%,190%,-30%,-100%,,,-50%,-30%,,,,,,,,,,,,,,,
South Darfur,SD03,Kas,SD03144,,," 153,958 ", IDPs ," 46,188 "," 27,712 "," 109,002 "," 115,469 "," 17,530 "," 107,771 "," 89,527 "," 138,563 "," 123,166 "," 102,181 "," 117,101 "," 107,870 "," 38,994 "," 122,818 "," 94,772 "," 28,768 "," 107,024 ", -   ,,," 135,608 "," 138,690 "," 61,682 "," 11,282 "," 13,816 "," -20,697 "," 11,238 ", -747 ,,,," 33,427 "," 21,589 ",130%,40%,10%,-20%,60%,0%,-100%,,,30%,20%,,,,,,,,,,,,,,,
South Darfur,SD03,Mershing,SD03145,,," 80,145 ", IDPs ," 24,044 "," 14,426 "," 56,743 "," 72,131 "," 5,952 "," 56,102 "," 47,326 "," 72,131 "," 40,073 "," 42,474 "," 48,383 "," 56,882 "," 24,972 "," 65,008 "," 65,008 "," 15,170 "," 40,630 ", -   ,,," 59,272 "," 65,008 "," 32,838 "," 10,546 "," 8,265 "," -7,123 "," 9,218 "," -15,472 ",,,," 16,798 "," 16,625 ",140%,70%,10%,-10%,150%,-30%,-100%,,,40%,30%,,,,,,,,,,,,,,,
